"","AD","HC"
"ENO1",0.000263455563193384,-0.000185881239214618
"SLC2A5",0.216124223970784,-0.152486582899884
"TARDBP",0.0116406027599544,-0.0142671776522875
"PADI2",0.24508768272519,-0.17292176954063
"ECE1",0.103939296312447,-0.073334436244625
"C1QA",0.180888476540346,-0.127692392023596
"C1QB",0.244334059818191,-0.172390050421972
"IFNLR1",0.0910589543993692,-0.0642592991544357
"LAPTM5",0.21658039438452,-0.1528084342237
"HDAC1",0.112309750229735,-0.0792402152994564
"MRPS15",-0.00174219010251881,0.00122920332858666
"CSF3R",0.20346163590568,-0.143552485882638
"PRDX1",0.0428639443652368,-0.0302426830540946
"FAAH",-0.0295215133484948,0.0208289224124695
"MKNK1",0.161213748022224,-0.11374446186893
"TAL1",0.0580026118327988,-0.0409237794595634
"ELAVL4",-0.17188761132824,0.121275412874619
"MRPL37",-0.00242886222042113,0.00171368527563644
"ACOT11",0.0951736014309961,-0.0671497946775678
"DHCR24",-0.19314394605029,0.136272833280326
"PCSK9",-0.0303690886304552,-0.0177652084161907
"DOCK7",0.163096043424503,-0.115072516580346
"AK4",-0.0290157180722559,0.0204720582354624
"DNAJC6",-0.0804239662150683,0.0567431802232781
"SGIP1",0.0127911210237614,-0.00902478352743242
"IL23R",-0.0179930671796718,-0.0263055371354044
"WLS",0.0887635890718609,-0.0626272064038766
"GBP3",0.0531398630993505,-0.0563773962869671
"GBP1",0.0639104720447884,-0.0575546665338452
"GBP2",0.130957331666207,-0.0947439173591846
"LRRC8D",0.0147445868869371,-0.0104030526025807
"BTBD8",-0.0283275394632104,0.0199865133826494
"CNN3",0.16500928654681,-0.11642240647523
"DPYD",0.0895539619872439,-0.0631848545141917
"PLPPR4",-0.204376281343373,0.144197814549704
"DBT",0.0485877039551343,-0.0342810852524725
"S1PR1",0.0980669531644456,-0.0714600524514371
"OLFM3",-0.226513459905165,0.159816714883513
"COL11A1",0.0440264099187295,-0.0310628613605244
"STXBP3",0.135210541869083,-0.0953978833231358
"CSF1",0.112174220776352,-0.0791445924078958
"AHCYL1",0.201532539378086,-0.142191410607665
"KCND3",-0.110490064263252,0.0779563347150035
"WNT2B",0.0910909648800213,-0.0642692878771648
"OLFML3",0.0385607099280432,-0.0481325087577171
"PHGDH",0.0635020013958049,-0.044803877243583
"FCGR1A",0.171785903018593,-0.121241797397718
"CTSS",0.104778182513904,-0.073926312934549
"SELENBP1",0.0523834992572637,-0.0370706969308843
"SNX27",0.0782046460753922,-0.0551773374952343
"S100A11",0.0733259504985376,-0.0655297585150812
"S100A9",-0.00957757993558908,-0.0152953781647309
"S100A8",-0.00947016771504898,-0.0197667995026213
"S100A6",0.00615279959356903,-0.02057867063689
"S100A4",-0.00321848130942724,-0.036199518229775
"KCNN3",0.105838511465687,-0.0746744286970577
"EFNA1",0.0555600120502889,-0.0392004016383438
"DAP3",0.0273140575176455,-0.019271450555032
"ARHGEF2",0.0911295147738206,-0.0642964867790829
"LMNA",0.122027262930589,-0.0860964125308843
"MNDA",0.113071793840965,-0.0798484447221489
"ARHGAP30",0.120215840614481,-0.0848183623702653
"KLHDC9",-0.0350888687316406,0.00293312482526228
"ADAMTS4",0.0690151699775296,-0.0486936968229361
"NDUFS2",0.0337757908727085,-0.0238305306101191
"FCER1G",0.0468421901844704,-0.050822218686137
"FCGR2A",0.198845299055484,-0.140295426498614
"DDR2",0.11061719812582,-0.0780460340921578
"MGST3",0.0270900008367115,-0.0191133672221022
"ATP1B1",-0.220259633688073,0.155404323841147
"DNM3",0.0528084657254287,-0.0372590463887436
"PRDX6",0.131110777940276,-0.0925052922904102
"ASTN1",-0.0857932361500381,0.0605314720214484
"BRINP2",-0.0553495201261133,0.0390518889280928
"FAM163A",-0.0851414479643923,0.0600427527373333
"STX6",0.0886887854785414,-0.0625744286813016
"NMNAT2",-0.232920322026789,0.164337080505159
"TPR",0.0975579034390178,-0.0688320404671759
"CFH",0.12338583885587,-0.0874611006596696
"ASPM",-0.0185580671485811,-0.020402752339913
"DENND1B",0.0200917644390732,-0.0141757571060552
"PTPRC",0.191084998163275,-0.134820141296499
"NR5A2",-0.0178404158185661,-0.0239727963548356
"CSRP1",0.199310570597548,-0.140623699129438
"UBE2T",-0.0320552623302675,0.00384267199955294
"NUAK2",0.0698785536960131,-0.0548173264846808
"CDK18",0.041815641572738,-0.0295030523559239
"IL10",-0.0163571629663354,-0.0224899572669122
"CR1",0.0722810883054996,-0.0511125322276739
"ESRRG",-0.0442505084568655,0.031220974225828
"TLR5",0.174193049044044,-0.122902015912991
"CAPN2",0.187816782970084,-0.132514250000159
"EPHX1",0.0923609428588553,-0.0651653216432858
"ITPKB",0.266446911843645,-0.187991787152678
"GALNT2",0.160151281638555,-0.112994838039986
"AGT",0.164216292430494,-0.115862908974944
"DISC1",0.207689444485203,-0.146535418899655
"ACTN2",-0.0410277085254113,0.0289471256960873
"HNRNPU",0.112275433078877,-0.0792160028119388
"KIDINS220",0.058068622707748,-0.040970353474146
"LPIN1",0.0888599289061562,-0.0626951790348816
"NBAS",0.0866675739733075,-0.0611483616255607
"DDX1",0.00561858571844869,-0.00396419670685416
"VSNL1",-0.360732110399439,0.254514768619829
"KLHL29",-0.136389866960042,0.0962299568867649
"SLC30A3",-0.156967939081607,0.110748828685802
"GCKR",-0.012438734500755,-0.0119812552044801
"ALK",0.0412728036090134,-0.0291200526873307
"DPY30",-0.0118888363659478,0.00838817601651329
"QPCT",-0.0477991257476362,0.0260029408924952
"DYNC2LI1",0.0158638167283743,-0.0111927259250023
"LRPPRC",0.0638655774480534,-0.0450603985571619
"PREPL",-0.166512129982829,0.11748273861191
"ATP6V1E2",0.0201695177775274,-0.0142306160231651
