"","x"
"ad02",1003
"ad04",4012
"ad12",6036
"ad16",5504
"ad17",4947
"ad30",8124
"hc03",5101
"hc07",8338
"hc14",4664
"hc19",7135
"hc35",817
"hc37",9844
