"","AD","HC"
"oligodendrocytes",11950,12373
"astrocytes",2118,5115
"neuron-I",2548,4604
"neuron-II",4365,4969
"OPC",2140,3143
"microglia",2959,2077
"sensory neurons",2347,2491
"unknown",531,670
"Interneurons",668,457
