"","x"
"1","ENO1"
"2","PADI2"
"3","ECE1"
"4","IFNLR1"
"5","HDAC1"
"6","MRPS15"
"7","PRDX1"
"8","FAAH"
"9","MKNK1"
"10","ELAVL4"
"11","MRPL37"
"12","ACOT11"
"13","DOCK7"
"14","AK4"
"15","DNAJC6"
"16","SGIP1"
"17","IL23R"
"18","WLS"
"19","GBP1"
"20","GBP2"
"21","LRRC8D"
"22","BTBD8"
"23","CNN3"
"24","DPYD"
"25","PLPPR4"
"26","DBT"
"27","S1PR1"
"28","OLFM3"
"29","COL11A1"
"30","STXBP3"
"31","CSF1"
"32","KCND3"
"33","WNT2B"
"34","OLFML3"
"35","SELENBP1"
"36","SNX27"
"37","S100A9"
"38","S100A4"
"39","EFNA1"
"40","DAP3"
"41","LMNA"
"42","ARHGAP30"
"43","KLHDC9"
"44","ADAMTS4"
"45","DDR2"
"46","MGST3"
"47","DNM3"
"48","PRDX6"
"49","FAM163A"
"50","STX6"
"51","NMNAT2"
"52","TPR"
"53","CFH"
"54","DENND1B"
"55","NR5A2"
"56","UBE2T"
"57","CR1"
"58","CAPN2"
"59","EPHX1"
"60","ITPKB"
"61","GALNT2"
"62","DISC1"
"63","ACTN2"
"64","HNRNPU"
"65","KIDINS220"
"66","LPIN1"
"67","NBAS"
"68","DDX1"
"69","VSNL1"
"70","KLHL29"
"71","SLC30A3"
"72","ALK"
"73","DPY30"
"74","QPCT"
"75","DYNC2LI1"
"76","LRPPRC"
"77","PREPL"
"78","ATP6V1E2"
"79","RTN4"
"80","MDH1"
"81","DCTN1"
"82","IMMT"
"83","COX5B"
"84","LIMS1"
"85","RANBP2"
"86","DPP10"
"87","CNTNAP5"
"88","NCKAP5"
"89","NXPH2"
"90","CACNB4"
"91","KCNJ3"
"92","SLC4A10"
"93","IFIH1"
"94","SCN2A"
"95","SCN9A"
"96","SCN7A"
"97","CERS6"
"98","GAD1"
"99","CDCA7"
"100","FRZB"
"101","TMEFF2"
"102","HECW2"
"103","ICA1L"
"104","NDUFS1"
"105","MAP2"
