"","x"
"106","ERBB4"
"107","TNS1"
"108","TMBIM1"
"109","CYP27A1"
"110","MRPL44"
"111","IRS1"
"112","COL4A4"
"113","MFF"
"114","NDUFA10"
"115","PPP1R7"
"116","SUMF1"
"117","ITPR1"
"118","ATP2B2"
"119","SYN2"
"120","PPARG"
"121","KAT2B"
"122","PLCD1"
"123","CX3CR1"
"124","MOBP"
"125","CDCP1"
"126","MAP4"
"127","PLXNB1"
"128","UQCRC1"
"129","LAMB2"
"130","DAG1"
"131","BSN"
"132","SEMA3F"
"133","SPCS1"
"134","ERC2"
"135","SLMAP"
"136","PDHB"
"137","FAM107A"
"138","CADPS"
"139","MITF"
"140","ROBO1"
"141","CADM2"
"142","TOMM70"
"143","ALCAM"
"144","BBX"
"145","CD47"
"146","TAGLN3"
"147","ATP6V1A"
"148","STXBP5L"
"149","FBXO40"
"150","CD86"
"151","PARP9"
"152","DTX3L"
"153","ITGB5"
"154","PLXNA1"
"155","PIK3CB"
"156","MRPS22"
"157","ATP1B3"
"158","P2RY13"
"159","P2RY12"
"160","SERPINI1"
"161","PIK3CA"
"162","AP2M1"
"163","LPP"
"164","FGF12"
"165","CPLX1"
"166","CYTL1"
"167","ABLIM2"
"168","WDR1"
"169","LDB2"
"170","SLIT2"
"171","GABRA4"
"172","LNX1"
"173","REST"
"174","EPHA5"
"175","RUFY3"
"176","G3BP2"
"177","MRPL1"
"178","SNCA"
"179","UNC5C"
"180","PPP3CA"
"181","BDH2"
"182","COL25A1"
"183","ANXA5"
"184","TRPC3"
"185","FGF2"
"186","MAML3"
"187","IL15"
"188","SMARCA5"
"189","FBXW7"
"190","LRAT"
"191","GUCY1A1"
"192","GUCY1B1"
"193","GRIA2"
"194","RAPGEF2"
"195","PALLD"
"196","AADAT"
"197","SLC25A4"
"198","SDHA"
"199","NDUFS6"
"200","FBXL7"
"201","GDNF"
"202","NNT"
"203","PARP8"
"204","IL6ST"
"205","MAP1B"
"206","ENC1"
"207","ANKRD31"
"208","HOMER1"
"209","VCAN"
"210","MEF2C"
"211","ELL2"
"212","EFNA5"
"213","KCNN2"
"214","CHSY3"
"215","CDC42SE2"
"216","SLC22A4"
"217","KDM3B"
"218","DND1"
"219","FGF1"
"220","ARHGAP26"
"221","NR3C1"
"222","DPYSL3"
"223","SYNPO"
"224","CYFIP2"
"225","GABRB2"
"226","GABRA1"
"227","GABRG2"
"228","SLIT3"
"229","KCNIP1"
"230","STK10"
"231","MAPK9"
"232","SLC22A23"
"233","CDYL"
"234","NRN1"
"235","RREB1"
"236","NEDD9"
"237","JARID2"
"238","GMPR"
"239","MOG"
"240","MRPS18B"
"241","PPP1R18"
"242","DDAH2"
"243","CLIC1"
"244","GPSM3"
"245","HLA-DMB"
"246","HLA-DOA"
"247","DAXX"
"248","SYNGAP1"
"249","PACSIN1"
"250","DAAM2"
"251","VEGFA"
"252","MRPL14"
"253","CD2AP"
"254","KHDRBS2"
"255","KCNQ5"
"256","SNAP91"
"257","SCML4"
"258","CDK19"
"259","LAMA4"
"260","HS3ST5"
"261","NKAIN2"
"262","EYA4"
"263","MAP7"
"264","HEBP2"
"265","NHSL1"
"266","UTRN"
"267","SASH1"
"268","EZR"
"269","QKI"
"270","RPS6KA2"
"271","SMOC2"
"272","NXPH1"
"273","HDAC9"
"274","GPNMB"
"275","OSBPL3"
"276","BMPER"
"277","NIPSNAP2"
"278","PSPH"
"279","TPST1"
"280","STX1A"
"281","MDH2"
"282","HGF"
"283","PCLO"
"284","COL1A2"
"285","DYNC1I1"
"286","ARPC1B"
"287","GPC2"
"288","NYAP1"
"289","PRKAR2B"
"290","DLD"
"291","DOCK4"
"292","IQUB"
"293","GPR37"
"294","FLNC"
"295","CHCHD3"
"296","CALD1"
"297","PTN"
"298","AKR1D1"
"299","GSTK1"
"300","EPHA1-AS1"
"301","GIMAP8"
"302","GIMAP4"
"303","DPP6"
"304","FRMPD4"
"305","GPM6B"
"306","PDHA1"
"307","CNKSR2"
"308","TSPAN7"
"309","MAOB"
"310","SLC9A7"
"311","SYN1"
"312","WAS"
"313","SYP"
"314","MSN"
"315","NONO"
"316","BTK"
"317","GRIA3"
"318","AIFM1"
"319","SLITRK4"
"320","DLGAP2"
"321","CSMD1"
"322","PCM1"
"323","ASAH1"
"324","ATP6V1B2"
"325","NEFL"
"326","PNMA2"
"327","PTK2B"
"328","EPHX2"
"329","CLU"
"330","SCARA3"
"331","KIF13B"
"332","NRG1"
"333","BAG4"
"334","ADAM9"
"335","PLAT"
"336","IKBKB"
"337","ATP6V1H"
"338","MRPL15"
"339","LYN"
"340","GDAP1"
"341","UQCRB"
"342","RRM2B"
"343","RIMS2"
"344","DPYS"
"345","OXR1"
"346","RSPO2"
"347","TNFRSF11B"
"348","SNTB1"
"349","ASAP1"
"350","PLEC"
"351","MAF1"
"352","ELAVL2"
"353","LINGO2"
"354","DCAF12"
"355","PHF24"
"356","VCP"
"357","TLN1"
"358","PGM5"
"359","TJP2"
"360","GDA"
"361","ANXA1"
"362","PSAT1"
"363","FRMD3"
"364","NTRK2"
"365","SPTLC1"
"366","HABP4"
"367","ANP32B"
"368","MRPL50"
"369","ZNF618"
"370","GSN"
"371","STOM"
"372","SLC2A8"
"373","STXBP1"
"374","AK1"
"375","DNM1"
"376","CERCAM"
"377","PHYHD1"
"378","SH3GLB2"
"379","RXRA"
"380","COL5A1"
"381","OLFM1"
"382","MRPS2"
"383","IFITM2"
"384","RRM1"
"385","MRPL17"
"386","LYVE1"
"387","BDNF"
"388","PAX6"
"389","KIAA1549L"
"390","CD44"
"391","SYT13"
"392","CHST1"
"393","SLC35C1"
"394","MDK"
"395","NR1H3"
"396","SPI1"
"397","CELF1"
"398","NDUFS3"
"399","C1QTNF4"
"400","FAM111A"
"401","MRPL16"
"402","DDB1"
"403","TKFC"
"404","SYT7"
"405","DAGLA"
"406","MYRF"
"407","TMEM258"
"408","FADS2"
"409","FADS1"
"410","FADS3"
"411","RAB3IL1"
"412","AHNAK"
"413","POLR2G"
"414","ATL3"
"415","RTN3"
"416","FERMT3"
"417","KCNK4"
"418","MRPL49"
"419","SLC25A45"
"420","SIPA1"
"421","SNX32"
"422","FIBP"
"423","MRPL11"
"424","SYT12"
"425","NDUFV1"
"426","NUMA1"
"427","INPPL1"
"428","STARD10"
"429","MRPL48"
"430","PGM2L1"
"431","PAK1"
"432","PICALM"
"433","ARHGAP20"
"434","CADM1"
"435","ZPR1"
"436","SIDT2"
"437","IL10RA"
"438","CBL"
"439","PFKP"
"440","ITIH2"
"441","USP6NL"
"442","DHTKD1"
"443","VIM"
"444","MRC1"
"445","PLXDC2"
"446","ITGB1"
"447","CISD1"
"448","CCDC6"
"449","ANK3"
"450","ARID5B"
"451","SGPL1"
"452","CDH23"
"453","PSAP"
"454","SPOCK2"
"455","MRPS16"
"456","OPALIN"
"457","SLIT1"
"458","FRAT2"
"459","MRPL43"
"460","ADD3"
"461","SMC3"
"462","PLPP4"
"463","PLEKHA1"
"464","DOCK1"
"465","TNFRSF1A"
"466","GAPDH"
"467","PTPN6"
"468","LPCAT3"
"469","GABARAPL1"
"470","GRIN2B"
"471","ARHGDIB"
"472","ITPR2"
"473","DNM1L"
"474","ANO6"
"475","PCED1B"
"476","SENP1"
"477","WNT10B"
"478","SCN8A"
"479","KRT8"
"480","SP1"
"481","NCKAP1L"
"482","CS"
"483","LRP1"
"484","PTPRR"
"485","RAB21"
"486","TRHDE"
"487","KCNC2"
"488","SYT1"
"489","ATP2B1"
"490","DCN"
"491","TMPO"
"492","ANKS1B"
"493","IGF1"
"494","CHST11"
"495","TMEM119"
"496","CORO1C"
"497","ATP2A2"
"498","PPP1CC"
"499","UNC119B"
"500","CAMKK2"
"501","MMP17"
"502","MRPL57"
"503","DCLK1"
"504","FOXO1"
"505","LMO7"
"506","FGF14"
"507","RNASE6"
"508","SLC7A7"
"509","SAMD4A"
"510","RTN1"
"511","SGPP1"
"512","MTHFD1"
"513","HSPA2"
"514","SPTB"
"515","TMEM229B"
"516","PLEKHH1"
"517","ACTN1"
"518","SMOC1"
"519","SLC24A4"
"520","RIN3"
"521","AKT1"
"522","CEP170B"
"523","PLD4"
"524","FAN1"
"525","MTMR10"
"526","TRPM1"
"527","TTBK2"
"528","USP50"
"529","CYP19A1"
"530","GLDN"
"531","DMXL2"
"532","SCG3"
"533","GNB5"
"534","ALDH1A2"
"535","LIPC"
"536","ADAM10"
"537","MYO1E"
"538","ANXA2"
"539","LACTB"
"540","SMAD3"
"541","ETFA"
"542","CTSH"
"543","AP3B2"
"544","MRPL46"
"545","IDH2"
"546","IQGAP1"
"547","SV2B"
"548","IGF1R"
"549","FBXL16"
"550","CARHSP1"
"551","GRIN2A"
"552","UQCRC2"
"553","ARHGAP17"
"554","HS3ST4"
"555","NUPR1"
"556","TUFM"
"557","RABEP2"
"558","QPRT"
"559","DOC2A"
"560","SULT1A3"
"561","STX1B"
"562","STX4"
"563","BCKDK"
"564","ITGAM"
"565","MT1G"
"566","NLRC5"
"567","PLLP"
"568","CX3CL1"
"569","ATP6V0D1"
"570","SLC12A4"
"571","FA2H"
"572","HSDL1"
"573","COTL1"
"574","COX4I1"
"575","SPG7"
"576","SRR"
"577","SPATA22"
"578","SLC25A11"
"579","ENO3"
"580","ZFP3"
"581","RABEP1"
"582","DLG4"
"583","NTN1"
"584","GAS7"
"585","SREBF1"
"586","NLK"
"587","MYO1D"
"588","CCT6B"
"589","AP2B1"
"590","DHRS11"
"591","CNP"
"592","DHX58"
"593","STAT3"
"594","ATP6V0A1"
"595","GFAP"
"596","NSF"
"597","KPNB1"
"598","SCRN2"
"599","MRPS23"
"600","ABCA8"
"601","MRPL58"
"602","SLC25A19"
"603","ITGB4"
"604","JMJD6"
"605","SRSF2"
"606","BAIAP2"
"607","ENOSF1"
"608","DLGAP1"
"609","EPB41L3"
"610","NPC1"
"611","SMAD4"
"612","RAB27B"
"613","WDR7"
"614","ST8SIA3"
"615","TMX3"
"616","SIGLEC1"
"617","LAMP5"
"618","SNAP25"
"619","SPTLC3"
"620","RRBP1"
"621","CDH22"
"622","PREX1"
"623","STAU1"
"624","BCAS1"
"625","CASS4"
"626","RTF2"
"627","ABCA7"
"628","NDUFS7"
"629","MBD3"
"630","AP3D1"
"631","TIMM13"
"632","DIRAS1"
"633","ATCAY"
"634","PLIN4"
"635","TICAM1"
"636","INSR"
"637","HNRNPM"
"638","ICAM1"
"639","DNM2"
"640","KANK2"
"641","GCDH"
"642","FARSA"
"643","LYL1"
"644","CACNA1A"
"645","PGLS"
"646","UNC13A"
"647","RAB3A"
"648","LRRC25"
"649","ISYNA1"
"650","UQCRFS1"
"651","ZNF536"
"652","RHPN2"
"653","GPI"
"654","CD22"
"655","COX6B1"
"656","YIF1B"
"657","TGFB1"
"658","PAFAH1B3"
"659","KCNN4"
"660","ZNF225"
"661","BCAM"
"662","NECTIN2"
"663","APOE"
"664","MARK4"
"665","EXOC3L2"
"666","SLC8A2"
"667","AP2A1"
"668","NR1H2"
"669","CD33"
"670","PRPF31"
"671","LILRA2"
"672","CECR2"
"673","ATP6V1E1"
"674","CLTCL1"
"675","MRPL40"
"676","MAPK1"
"677","AP1B1"
"678","TIMP3"
"679","MFNG"
"680","TRIOBP"
"681","TMEM184B"
"682","ACO2"
"683","DESI1"
"684","SREBF2"
"685","SULT4A1"
"686","PNPLA3"
"687","WNT7B"
"688","PPARA"
"689","GRAMD4"
"690","MRPL39"
"691","APP"
"692","ADAMTS1"
"693","SYNJ1"
"694","PTTG1IP"
"695","COL18A1"
"696","TARDBP"
"697","PCSK9"
"698","GBP3"
"699","MNDA"
"700","ASPM"
"701","NUAK2"
"702","GCKR"
"703","EDAR"
"704","RGPD5"
"705","C2orf83"
"706","LMOD3"
"707","PAQR9"
"708","GMNC"
"709","HTRA3"
"710","N4BP3"
"711","TREML1"
"712","DDO"
"713","PLG"
"714","NEUROD6"
"715","CYP3A43"
"716","FSCN3"
"717","EPHA1"
"718","GIMAP6"
"719","CRH"
"720","CTHRC1"
"721","RET"
"722","GDF10"
"723","ZWINT"
"724","PKD2L1"
"725","NPM3"
"726","LAG3"
"727","SDR9C7"
"728","NR1H4"
"729","HNF1A"
"730","ACOT1"
"731","CETP"
"732","HPR"
"733","ACE"
"734","NFS1"
"735","TM6SF2"
"736","NDUFA13"
"737","SULT2A1"
"738","SYNGR4"
"739","FAM83E"
"740","S100A8"
"741","IL10"
"742","MRPL53"
"743","RAPSN"
"744","CCDC89"
"745","GPR84"
"746","TUBB3"
"747","VTN"
"748","CTLA4"
"749","EN2"
"750","NDUFA11"
"751","PDCD1"
"752","CFI"
"753","C4A"
"754","NTN3"
"755","SP6"
"756","ATP1A3"
"757","CRHR1"
