"","x"
"1","SLC2A5"
"2","C1QA"
"3","C1QB"
"4","LAPTM5"
"5","CSF3R"
"6","TAL1"
"7","DHCR24"
"8","PHGDH"
"9","FCGR1A"
"10","CTSS"
"11","S100A11"
"12","S100A6"
"13","ARHGEF2"
"14","NDUFS2"
"15","FCER1G"
"16","FCGR2A"
"17","ATP1B1"
"18","PTPRC"
"19","CSRP1"
"20","CDK18"
"21","TLR5"
"22","PLEK"
"23","DBI"
"24","BIN1"
"25","IGFBP5"
"26","INPP5D"
"27","TGFBR2"
"28","MANF"
"29","NFKBIZ"
"30","HCLS1"
"31","KLF15"
"32","APOD"
"33","TLR1"
"34","UGT8"
"35","GAB1"
"36","TLR2"
"37","SPOCK3"
"38","ACSL1"
"39","ERBIN"
"40","TNFAIP8"
"41","SPOCK1"
"42","CSF1R"
"43","CD74"
"44","HAVCR2"
"45","DOCK2"
"46","LY86"
"47","HLA-DRA"
"48","HLA-DRB1"
"49","HLA-DQB1"
"50","TREM2"
"51","SGK1"
"52","HNRNPA2B1"
"53","HSPB1"
"54","TBXAS1"
"55","CNTNAP2"
"56","TLR7"
"57","VSIG4"
"58","EDA"
"59","PLP1"
"60","RENBP"
"61","SFRP1"
"62","ST18"
"63","SLA"
"64","DOCK8"
"65","SYK"
"66","CD81"
"67","MS4A6A"
"68","MS4A4A"
"69","SLCO2B1"
"70","RDX"
"71","FLI1"
"72","WDFY4"
"73","PIK3AP1"
"74","HTRA1"
"75","C3AR1"
"76","SLCO1A2"
"77","ERBB3"
"78","FLT1"
"79","LCP1"
"80","LPAR6"
"81","PSME1"
"82","NFKBIA"
"83","PYGL"
"84","ITPK1"
"85","SERPINA1"
"86","PAPOLA"
"87","CYBA"
"88","LGALS9"
"89","ABI3"
"90","ZNF652"
"91","NGFR"
"92","TTYH2"
"93","CD300A"
"94","RHBDF2"
"95","BCL2"
"96","MBP"
"97","HCK"
"98","C3"
"99","VAV1"
"100","CERS4"
"101","MYO1F"
"102","TYROBP"
"103","APOC1"
"104","SLC1A5"
"105","SIGLEC9"
"106","SIGLEC8"
"107","FPR1"
"108","LAIR1"
"109","LILRB1"
"110","CHADL"
"111","ITGB2"
