"","AD","HC"
"SLC12A4",-0.00779928208183883,0.0050238312193767
"FA2H",0.0353757406222152,-0.0291941750933403
"PLCG2",0.279292795559404,-0.230489104466384
"HSDL1",0.00920606255689378,-0.00759739294437914
"COTL1",0.031114930543037,-0.0256779000046487
"COX4I1",-0.0128759381173975,0.0106259935559604
"CYBA",0.0805441011572542,-0.0664698053117125
"SPG7",-0.0531011676892501,0.0438222567191535
"SRR",-0.00772426138607066,0.00637452207091967
"SPATA22",0.0166648317786555,-0.0137528150163735
"SLC25A11",0.00386924497481226,-0.00319313216592422
"ENO3",-0.0298091274403839,-0.00166760702922435
"ZFP3",0.0177059334398724,-0.0150360214352587
"RABEP1",-0.00924385428813352,0.0076285809392966
"DLG4",-0.0153448376035707,0.0126634769448811
"NTN1",-0.043492782148126,0.0358928428067389
"GAS7",-0.0355033036336771,0.0292994477130242
"SREBF1",-0.0402938026042267,0.0332528537271716
"LGALS9",0.0626078111931772,-0.0516677070227112
"NLK",-0.0701425246611273,0.0578858028248675
"MYO1D",-0.00723620309684423,0.00597174720595189
"CCT6B",-0.0641792259110892,0.0529131563314219
"AP2B1",-0.0206364034257652,0.017030393266978
"DHRS11",-0.0467533710657428,0.0385590191612963
"CNP",0.0383819807753887,-0.031675104110229
"DHX58",-0.0138800062234985,0.0108326437213212
"STAT3",0.0236201094642637,-0.0194927257859282
"ATP6V0A1",-0.0313934111278954,0.0259077188243371
"GFAP",0.0421620865718451,-0.0347946732995268
"NSF",-0.0888950082863129,0.0733614728958684
"KPNB1",-0.0023133283760789,0.0019090968124236
"SCRN2",-0.0412259110045366,0.0340220852787112
"ABI3",0.0633290903119006,-0.0558452696529563
"ZNF652",0.144162095180896,-0.118971175571177
"NGFR",0.0620899278375603,-0.0650442866620666
"MRPS23",0.0164409214328953,-0.0135680308189908
"PRKCA",-0.115244785385239,0.0951068835294398
"ABCA8",0.04535407690182,-0.0374288944620729
"TTYH2",0.0980017402556111,-0.080876892303649
"CD300A",0.0832378360346344,-0.0688067100596673
"MRPL58",0.0120519175857968,-0.0101825657273316
"SLC25A19",0.050400157919639,-0.0421719306068398
"ITGB4",0.0214739644967977,-0.0177215987125679
"RHBDF2",0.102237265391929,-0.0843723007466034
"JMJD6",0.0520509667352932,-0.0429555681356174
"SRSF2",0.0192306553943618,-0.0158702859888665
"BAIAP2",0.00902532022994278,-0.00744823357563718
"ENOSF1",-0.0611765024244668,0.0504865054967154
"DLGAP1",-0.0808634574482538,0.0667333572066356
"EPB41L3",-0.0338544548342405,0.027938719154265
"NPC1",0.0261670097876503,-0.0215945801266766
"DTNA",-0.170833352230731,0.140981890670757
"SMAD4",0.0179450634338825,-0.0148093386805487
"RAB27B",-0.0447526112247119,0.0369325290438504
"WDR7",-0.0472104183050936,0.0389608583165594
"ST8SIA3",-0.0226466744558077,0.0186893890478248
"BCL2",0.0655408919140657,-0.054088260504376
"TMX3",-0.054366672038097,0.0448666265299665
"MBP",0.0719048569889923,-0.0593401847727537
"SIGLEC1",-0.00122524269092431,-0.0354981040768824
"PLCB1",-0.130431942128726,0.107640232806055
"LAMP5",-0.0351323278896806,0.0289932963609297
"SNAP25",-0.0716618127886561,0.0591396101751462
"SPTLC3",-0.027935585968153,0.0213422521676379
"RRBP1",0.0348362681586487,-0.0287489701793523
"HCK",0.0768306580420484,-0.0634052501505319
"SDC4",-0.111817216756632,0.0922782490774858
"CDH22",-0.0534958138616816,0.0441479423233623
"PREX1",0.0118129249780142,-0.00974873159139589
"STAU1",-0.0292292477621291,0.0241217218919781
"BCAS1",-0.0404542297446105,0.0333852477900298
"CASS4",0.0279094280458606,-0.0237369523804961
"RTF2",0.0213247279310784,-0.0175984397806526
"ABCA7",-0.00681355703406837,0.0056229544190779
"CIRBP",-0.182864435011353,0.15091065911722
"NDUFS7",0.0252242873428016,-0.0208165892313923
"MBD3",0.0150822712694011,-0.0124467915158569
"AP3D1",-0.00316510116474764,0.00261203061662837
"TIMM13",0.00721829866741017,-0.00595697140090563
"DIRAS1",-0.0214201081974201,0.0176771532760301
"ATCAY",-0.0272330159793747,0.0224743121369274
"PLIN4",-0.00767448613746975,0.00358970668657001
"TICAM1",0.0113800508971814,-0.00993390370591337
"C3",0.0853347227184058,-0.0704233124949047
"VAV1",0.0550603458233651,-0.0454390875891512
"INSR",0.0263109672967029,-0.0217133824655784
"CERS4",0.0664438442095278,-0.0548334306958742
"HNRNPM",-0.0100438553084663,0.00828878958657662
"MYO1F",0.073239760760883,-0.0604418271345204
"ICAM1",0.0202526658234861,-0.0230453218676206
"DNM2",0.0253141555326134,-0.0208907538318435
"KANK2",0.0243566660191463,-0.0201090067556255
"GCDH",0.0239766671838877,-0.0197869785227786
"FARSA",0.0097035300801991,-0.00800793287156469
"LYL1",0.0493734173801995,-0.0459350906365339
"CACNA1A",0.0105365836235951,-0.00869541843595599
"PGLS",0.018491379308719,-0.0152601911864039
"UNC13A",-0.0322042311181172,0.0265768559320718
"RAB3A",-0.0470314023061533,0.0388131236168724
"LRRC25",0.0128950019531696,-0.0459695841326878
"ISYNA1",0.000430572431396471,-0.00218530132567063
"UQCRFS1",0.0339766835370883,-0.0280395895838536
"ZNF536",0.0538842750084737,-0.0444685236748295
"RHPN2",-0.06599697181571,0.0544646448929213
"GPI",-0.0402594200030037,0.0332244791500718
"CD22",0.0141555456611466,-0.0116820021660707
"COX6B1",0.00819200536067731,-0.00676053234951966
"TYROBP",0.0725837452425397,-0.059925620812326
"YIF1B",0.0204477522245415,-0.0168747070225776
"TGFB1",0.0493991163458628,-0.0407671027288356
"PAFAH1B3",0.0367221759644741,-0.0306321213546179
"KCNN4",-0.0143278875324714,-0.0104493325394442
"ZNF225",-0.00411337871202504,0.0026228957406053
"BCAM",-0.0391162714696624,0.030378432069619
"NECTIN2",-0.0213628606703603,0.0176299091957943
"APOE",-0.0553105932713186,0.0456456067370981
"APOC1",0.0748594625925187,-0.0619982025315297
"MARK4",-0.00356220962282963,0.00293974824606274
"EXOC3L2",-0.0208308908252985,-0.0172718753117816
"SLC1A5",0.0554976543615911,-0.0560045275560615
"SLC8A2",-0.0203713344331237,0.0168116424946244
"AP2A1",-0.0170987888960691,0.0141109423614828
"NR1H2",0.0182981451188792,-0.0151007227859326
"SIGLEC9",0.0909364890582103,-0.076607257060644
"CD33",0.0361145563225756,-0.0501487840340993
"SIGLEC8",0.0589801032067318,-0.0501675021463995
"FPR1",0.0928943324751071,-0.0779098192226412
"PRPF31",0.0210873852908941,-0.0174025704512247
"LAIR1",0.0973372218888998,-0.0803284920382017
"LILRA2",0.0189399710895803,-0.0409886037699582
"LILRB1",0.059425653070447,-0.0506913069834649
"CECR2",-0.0879283379329136,0.0725637187553675
"ATP6V1E1",-0.0126932669725369,0.0104752424114234
"CLTCL1",-0.0303240360494113,0.0250252066074122
"MRPL40",0.0148046668728853,-0.0124925170322667
"MAPK1",-0.06026846299337,0.0497371370968573
"AP1B1",0.0206385479921816,-0.0170321630913521
"TIMP3",-0.0908358362676149,0.0749631601233441
"MFNG",0.0071637627288291,-0.038541821974977
"TRIOBP",-0.0280926214261628,0.0231837099186844
"TMEM184B",0.0161082083888979,-0.0132934561332915
"CHADL",0.0634655598723324,-0.0523755724889446
"ACO2",-0.00792071782840723,0.00653664966668024
"DESI1",-0.00615830358062099,0.00508220011363987
"SREBF2",0.00117317197859965,-0.000968171621430422
"SULT4A1",-0.0156976828347756,0.012954665914452
"PNPLA3",-0.0173120420200187,0.0113029295009393
"WNT7B",-0.069242330780443,0.0567457447692669
"PPARA",-0.000261658187809386,0.000215935972361535
"GRAMD4",-0.0088095134442344,0.00727013692022417
"MRPL39",-0.00731321875208775,0.00603530512686257
"APP",-0.00194331164520881,0.00160373689525227
"ADAMTS1",-0.000745944661936771,0.000615598110150189
"SYNJ1",-0.0283181371223033,0.0233698189471966
"PTTG1IP",-0.000255428050157279,0.000210794490477381
"ITGB2",0.0906464304151252,-0.0748068510955094
"COL18A1",-0.0369165418499127,0.0304657363393149
"TARDBP",0.0164670289715579,-0.0428689880499606
"PCSK9",-0.0214897335869391,-0.0208681228614428
"GBP3",-0.0081594515223305,-0.0226135194705359
"MNDA",0.0235096067884378,-0.0219786453215015
"ASPM",-0.00567383446264061,-0.0267412250135165
"NUAK2",0.00261520289880308,-0.0155048672729143
"GCKR",-0.0315574694757812,0.0129928534623044
"EDAR",-0.0274896895004503,-0.0203354093214084
"RGPD5",0.000921412073108815,-0.019652357738538
"C2orf83",-0.0176051415502725,-0.0245371512257129
"LMOD3",-0.0131444228487659,-0.0261105158655176
"PAQR9",-0.0131244127793093,0.00572756919225945
"GMNC",-0.0140707003864573,-0.0317917028485655
"HTRA3",-0.0226915609960326,-0.01868449878974
"N4BP3",-0.00709517729385836,-0.0153027109893111
"TREML1",0.0216979667171838,-0.0430332642080736
"DDO",-0.0269880986916987,0.0219741480300597
"PLG",-0.0238095173475833,-0.0217522069730593
"NEUROD6",-0.0378639485452882,0.02407439510769
"CYP3A43",-0.0279130154878163,0.020205921985545
"FSCN3",-0.0130151083193475,-0.0221070848514812
"EPHA1",-0.0282377558470849,-0.0159346303543039
"GIMAP6",-0.0146716144885984,-0.0319956849181599
"CRH",-0.0692095062624083,0.0365167938643164
"CTHRC1",-0.0232004944329711,-0.00655487082656371
"RET",0.00114991821170836,-0.00776200582209362
"GDF10",-0.0262111542985202,0.00262893527837492
"ZWINT",-0.0233452805060962,-0.019211980908663
"PKD2L1",0.00741993216211037,-0.012089809517279
"NPM3",-0.0220115635196695,-0.00670698947391686
