"","AD","HC"
"oligodendrocytes",2076,2796
"excitatory neurons",1770,1876
"inhibitory neurons",685,2185
"Microglia",1479,1044
"Astrocytes",740,959
"Fibroblasts",562,1053
"striatal medium spiny neurons",425,947
"vascular endothelial cells",595,320
"hippocampal neurons",129,520
"cortical layer-specific neurons",163,399
"neuronal-glial hybrid",46,117
"cerebellar neurons",37,126
"perivascular macrophages",51,71
